"DATE","TITLE","ACTIVITY"
"Jan 14, 2017 07:56","Part 2i - Summary of Contributions and Transfers Received",""

SUMMARY_DATA
"Client_id","Registered_association","Fiscal_period","Total_monetary_contributions-Contributions_from_individuals","Total_non-monetary_contributions-Contributions_from_individuals","Total_contributions-Contributions_from_individuals","Total_number_of_contributors-Contributions_from_individuals","Total_monetary_contributions-Contributions_from_corporations","Total_non-monetary_contributions-Contributions_from_corporations","Total_contributions-Contributions_from_corporations","Total_number_of_contributors-Contributions_from_corporations","Total_monetary_contributions-Contributions_from_trade_unions","Total_non-monetary_contributions-Contributions_from_trade_unions","Total_contributions-Contributions_from_trade_unions","Total_number_of_contributors-Contributions_from_trade_unions","Total_monetary_contributions-Contributions_from_associations","Total_contributions-Contributions_from_associations","Total_number_of_contributors-Contributions_from_associations","Total_monetary_contributions-Total_of_all_contributions","Total_non-monetary_contributions-Total_of_all_contributions","Total_contributions-Total_of_all_contributions","Total_number_of_contributions-Total_of_all_contributions","Total_monetary_transfers-Transfers_received_from_registered_parties","Total_non-monetary_transfers-Transfers_received_from_registered_parties","Total_transfers-Transfers_received_from_registered_parties","Total_monetary_transfers-Transfers_received_from_registered_associations","Total_non-monetary_transfers-Transfers_received_from_registered_associations","Total_transfers-Transfers_received_from_registered_associations","Total_monetary_transfers-Transfers_received_from_candidates","Total_non-monetary_transfers-Transfers_received_from_candidates","Total_transfers-Transfers_received_from_candidates","Total_monetary_transfers-Transfers_received_from_leadership_contestants","Total_transfers-Transfers_received_from_leadership_contestants","Total_monetary_transfers-Transfers_received_from_nomination_contestants","Total_transfers-Transfers_received_from_nomination_contestants","Total_monetary_transfers-Total_transfers_received","Total_non-monetary_transfers-Total_transfers_received","Total_transfers-Total_transfers_received","Total_monetary_contributions_and_transfers-Grand_total_of_Contributions_and_Transfers_Received","Total_non-monetary_contributions_and_transfers-Grand_total_of_Contributions_and_Transfers_Received","Total_contributions_and_transfers-Grand_total_of_Contributions_and_Transfers_Received"
"7142","Newmarket--Aurora P.C. Party Association","2005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10871","Newmarket--Aurora P.C. Party Association","2006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2708","Newton--North Delta Conservative Association","2004","4690","","4690","17","9500","","9500","18","","","","","","","","14190","","14190","35","14978.35","","14978.35","25309.97","","25309.97","15220.34","","15220.34","","","","","55508.66","","55508.66","69698.66","","69698.66"
"6645","Newton--North Delta Conservative Association","2005","26232.18","","","","4200","","","","","","","","2000","","","32432.18","","32432.18","","32527.25","","","","","","903.3","","","","","","","903.3","","33430.55","","","63862.73"
"10380","Newton--North Delta Conservative Association","2006","12270","0","12270","21","500","0","500","1","0","0","0","0","0","0","0","12770","0","12770","22","11823.68","0","11823.68","4600","0","4600","20155.97","0","20155.97","0","0","0","0","36579.65","0","36579.65","49349.65","0","49349.65"
"3960","Newton--North Delta Federal Liberal Electoral District Association","2004","360.12","","360.12","2","2170.84","","2170.84","3","","","0","0","","","0","2530.96","0","2530.96","5","","","0","21427.36","","21427.36","","","0","","0","","0","21427.36","0","21427.36","23958.32","0","23958.32"
"7073","Newton--North Delta Federal Liberal Electoral District Association","2005","11600","","11600","66","22000","","22000","46","","","","","","","","33600","","33600","112","","","","498.28","","498.28","","","","","","","","498.28","","498.28","34098.28","","34098.28"
"10807","Newton--North Delta Federal Liberal Electoral District Association","2006","26857.26","","26857.26","83","28873.49","","28873.49","56","","","","","","","","55730.75","","55730.75","139","","","","","","","24291.12","","24291.12","","","","","24291.12","","24291.12","80021.87","","80021.87"
"3652","Newton--North Delta Federal NDP Riding Association","2004","9936.25","","9936.25","42","","","","","","","","","","","","9936.25","","9936.25","42","735.29","","735.29","","","","","","","","","","","735.29","","735.29","10671.54","","10671.54"
"6441","Newton--North Delta Federal NDP Riding Association","2005","24053.49","","","153","800","","","3","","","","","","","","24853.49","","","156","3730","","","","","","","","","","","","","3730","","","28583.49","","0"
"10178","Newton--North Delta Federal NDP Riding Association","2006","5509.25","","5509.25","71","1150","","1150","3","","","","","","","","6659.25","","6659.25","74","155.57","","155.57","","","","","","","","","","","155.57","","155.57","6814.82","","6814.82"
"2791","Niagara Centre Conservative Association","2004","1057","","1057","92","","","","","","","","","","","","1057","","1057","92","3573.81","","3573.81","10364.62","","10364.62","780.32","","780.32","","","","","14718.75","","14718.75","15775.75","","15775.75"
"6589","Niagara Centre Conservative Association","2005","10791.42","","10791.42","265","","","","","","","","","","","","10791.42","","10791.42","0","1990","","1990","","","","","","","","","","","1990","","1990","12781.42","","12781.42"
"10324","Niagara Centre Conservative Association","2006","4407","","4407","67","","","","","","","","","","","","4407","","4407","67","4959.16","","4959.16","","","","","","","","","","","4959.16","","4959.16","9366.16","","9366.16"
"3456","Niagara Centre Federal Liberal Association","2004","5808","","5808","79","814","","814","7","","","","","","","","6622","","6622","86","","","","","","","","","","","","","","","","","6622","","6622"
"3220","Niagara Falls Conservative Electoral District Association","2004","6227.48","","6227.48","76","4750","","4750","8","","","0","0","","","0","10977.48","0","10977.48","84","15428.77","","15428.77","6099.15","","6099.15","12022.61","","12022.61","","0","","0","33550.53","0","33550.53","44528.01","0","44528.01"
"6723","Niagara Falls Conservative Electoral District Association","2005","43967.26","","43967.26","347","3870","634","4504","18","","","0","0","","","0","47837.26","634","48471.26","365","30532.99","","30532.99","","","0","","","0","","0","","0","30532.99","0","30532.99","78370.25","634","79004.25"
"10458","Niagara Falls Conservative Electoral District Association","2006","24646.75","","24646.75","193","9665.68","220","9885.68","48","","","0","0","","","0","34312.43","220","34532.43","241","8277.45","","8277.45","","","0","134121.3","","134121.3","","0","","0","142398.75","0","142398.75","176711.18","220","176931.18"
"7140","Niagara Falls Federal Green Party Association","2005","1080","","1080","4","","","0","0","","","0","0","","","0","1080","0","1080","4","347.2","","347.2","","","0","","","0","","0","","0","347.2","0","347.2","1427.2","0","1427.2"
"10869","Niagara Falls Federal Green Party Association","2006","700","","700","3","","","","","","","","","","","","700","","700","3","1450.62","","1450.62","","","","244.45","","244.45","","","","","1695.07","","1695.07","2395.07","","2395.07"
"3457","Niagara Falls Federal Liberal Association","2004","","","","","","","","","","","","","","","","","","","","19003.75","","19003.75","","","","12852.38","","12852.38","","","","","31856.13","","31856.13","31856.13","","31856.13"
"6228","Niagara Falls Federal Liberal Association","2005","100","","100","1","","","","","","","","","","","","100","","100","1","13006.93","","13006.93","","","","19265.1","","19265.1","","","","","32272.03","","32272.03","32372.03","","32372.03"
"9965","Niagara Falls Federal Liberal Association","2006","305","","305","25","50","","50","1","","","","","","","","355","","355","26","","","","7998.44","","7998.44","10636.85","","10636.85","","","","","18635.29","","18635.29","18990.29","","18990.29"
"3131","Niagara Falls Federal NDP Riding Association","2004","10330","","10330","45","","","0","0","","","0","0","","","0","10330","0","10330","45","","","0","","","0","2206.98","2500","4706.98","","0","","0","2206.98","2500","4706.98","12536.98","2500","15036.98"
"6287","Niagara Falls Federal NDP Riding Association","2005","","","0","0","","","0","0","","","0","0","","","0","0","0","0","0","2991","","2991","","","0","","","0","","0","","0","2991","0","2991","2991","0","2991"
"10024","Niagara Falls Federal NDP Riding Association","2006","3955","0","3955","14","0","0","0","0","0","0","0","0","0","0","0","3955","0","3955","14","1000","0","1000","0","0","0","808.13","0","808.13","0","0","0","0","1808.13","0","1808.13","5763.13","0","5763.13"
"2815","Niagara West--Glanbrook Conservative Association","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6871","Niagara West--Glanbrook Conservative Association","2005","25060.12","","25060.12","114","2774.8","","2774.8","13","","","0","0","","","0","27834.92","0","27834.92","127","","","0","","","0","17391.01","","17391.01","","0","","0","17391.01","0","17391.01","45225.93","0","45225.93"
"10606","Niagara West--Glanbrook Conservative Association","2006","11144.52","","11144.52","73","3983.56","","3983.56","10","","","","","","","","15128.08","","15128.08","83","","","","","","","22000","","22000","","","","","22000","","22000","37128.08","","37128.08"
"2921","Niagara West--Glanbrook Federal Liberal Association","2004","12550","","12550","96","2683","","2683","8","","","","","","","","15233","","15233","104","2000","2750","4750","19143.22","","19143.22","6814.14","","6814.14","","","","","27957.36","2750","30707.36","43190.36","2750","45940.36"
"6897","Niagara West--Glanbrook Federal Liberal Association","2005","12344.52","","12344.52","33","370","","370","2","","","","","","","","12714.52","","12714.52","35","","","","","","","3111.43","","3111.43","","","","","3111.43","","3111.43","15825.95","","15825.95"
"10632","Niagara West--Glanbrook Federal Liberal Association","2006","2364.48","","2364.48","17","","","","","","","","","","","","2364.48","","2364.48","17","1427.59","","1427.59","","","","","","","","","","","1427.59","","1427.59","3792.07","","3792.07"
"3146","Niagara West--Glanbrook Federal NDP Riding Association","2004","2295","","2295","14","","","","","","","","","","","","2295","","2295","14","","","","","","","","1080","1080","","","","","","1080","1080","2295","1080","3375"
"6467","Niagara West--Glanbrook Federal NDP Riding Association","2005","1490","","1490","18","","","0","0","","","0","0","","","0","1490","0","1490","18","1060.64","","1060.64","","","0","","","0","","0","","0","1060.64","0","1060.64","2550.64","0","2550.64"
"10204","Niagara West--Glanbrook Federal NDP Riding Association","2006","1050","0","1050","5","0","0","0","0","0","0","0","0","0","0","0","1050","0","1050","5","1703.6","0","1703.6","0","0","0","546.15","0","546.15","0","0","0","0","2249.75","0","2249.75","3299.75","0","3299.75"
"2816","Nickel Belt Conservative Association","2004","","","","","","","","","","","","","","","","","","","","769.6","","","1057.09","","","","","","","","","","1826.69","","","1826.69","",""
"6726","Nickel Belt Conservative Association","2005","815","","815","9","","","","","","","","","","","","815","","815","9","995.88","","995.88","","","","5432.31","","5432.31","","","","","6428.19","","6428.19","7243.19","","7243.19"
"10461","Nickel Belt Conservative Association","2006","","","","","","","","","","","","","","","","","","","","2196.5","","","","","","","","","","","","","2196.5","","","2196.5","",""
"3458","Nickel Belt Federal Liberal Association","2004","6525","","6525","31","1950","","1950","11","","","","","","","","8475","","8475","42","","","","","","","","","","","","56.01","56.01","56.01","","56.01","8531.01","","8531.01"
"6168","Nickel Belt Federal Liberal Association","2005","2300","","2300","6","","","","","","","","","","","","2300","","2300","6","","","","","","","10875","","10875","","","","","10875","","10875","13175","","13175"
"9905","Nickel Belt Federal Liberal Association","2006","11910.23","","11910.23","28","","","","","","","","","","","","11910.23","","11910.23","28","","","","","","","","","","","","","","","","","11910.23","","11910.23"
"3120","Nickel Belt Federal NDP Riding Association","2004","14965","","14965","105","900","","900","6","","","0","0","","","0","15865","0","15865","111","","","0","","","0","230.46","3680.65","3911.11","","0","","0","230.46","3680.65","3911.11","16095.46","3680.65","19776.11"
"6525","Nickel Belt Federal NDP Riding Association","2005","19912.5","","19912.5","177","1689.6","","1689.6","9","","","0","0","","","0","21602.1","0","21602.1","186","4958.21","","4958.21","","","0","","","0","","0","","0","4958.21","0","4958.21","26560.31","0","26560.31"
"10262","Nickel Belt Federal NDP Riding Association","2006","18846.7","0","18846.7","202","0","0","0","0","0","0","0","0","0","0","0","18846.7","0","18846.7","202","23692.02","0","23692.02","0","0","0","276.89","3814.82","4091.71","0","0","0","0","23968.91","3814.82","27783.73","42815.61","3814.82","46630.43"
"3632","Nickel Belt GPC EDA","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6949","Nickel Belt GPC EDA","2005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3459","Nipissing Federal Liberal Association","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2817","Nipissing--Timiskaming Conservative Association","2004","22156.5","","22156.5","133","1100","","1100","2","","","0","0","","","0","23256.5","0","23256.5","135","2978.43","","2978.43","","","0","100","","100","","0","","0","3078.43","0","3078.43","26334.93","0","26334.93"
"6852","Nipissing--Timiskaming Conservative Association","2005","25193.72","","25193.72","160","7815.64","","7815.64","34","","","0","0","","","0","33009.36","0","33009.36","194","3260","","3260","","","0","33474.35","","33474.35","","0","","0","36734.35","0","36734.35","69743.71","0","69743.71"
"10587","Nipissing--Timiskaming Conservative Association","2006","4060.4","473.89","4534.29","34","","","0","0","","","0","0","","","0","4060.4","473.89","4534.29","34","6138","","6138","4670.53","","4670.53","62515.1","","62515.1","","0","","0","73323.63","0","73323.63","77384.03","473.89","77857.92"
"3425","Nipissing--Timiskaming Federal Liberal Association","2004","13990","","13990","83","6890","","6890","26","","","","","","","","20880","","20880","109","32761.09","","32761.09","2400","","2400","2250","","2250","","","","","37411.09","","37411.09","58291.09","","58291.09"
"6998","Nipissing--Timiskaming Federal Liberal Association","2005","11477","","11477","43","10519","","10519","33","","","","","","","","21996","","21996","76","4090","","4090","","","","","","","","","","","4090","","4090","26086","","26086"
"10732","Nipissing--Timiskaming Federal Liberal Association","2006","11900","","11900","81","5350","","5350","30","","","","","","","","17250","","17250","111","3860.25","","3860.25","","","","","","","","","","","3860.25","","3860.25","21110.25","","21110.25"
"3108","Nipissing--Timiskaming Federal NDP Riding Association","2004","2574.41","","2574.41","4","","","","","","","","","","","","2574.41","","2574.41","4","","","","","","","","","","","","","","","","","2574.41","","2574.41"
"10277","Nipissing--Timiskaming Federal NDP Riding Association","2006","725","0","725","2","0","0","0","0","0","0","0","0","0","0","0","725","0","725","2","2017.65","0","2017.65","0","0","0","481.11","0","481.11","0","0","0","0","2498.76","0","2498.76","3223.76","0","3223.76"
"3009","North Island--Powell River Federal NDP Riding Association","2004","13781.57","","13781.57","966","","","","","","","","","","","","13781.57","","13781.57","966","735.29","","735.29","","","","6459.34","","6459.34","","","","","7194.63","","7194.63","20976.2","","20976.2"
"6321","North Island--Powell River Federal NDP Riding Association","2005","20019.45","","20019.45","356","","","0","0","","","0","0","","","0","20019.45","0","20019.45","356","7509.85","","7509.85","","","0","","","0","","0","","0","7509.85","0","7509.85","27529.3","0","27529.3"
"10058","North Island--Powell River Federal NDP Riding Association","2006","24582.5","","24582.5","192","","","0","0","","","0","0","","","0","24582.5","0","24582.5","192","23242.6","","23242.6","","","0","14511.43","","14511.43","","0","","0","37754.03","0","37754.03","62336.53","0","62336.53"
"2711","North Vancouver Conservative Association","2004","9395","","9395","81","","","0","0","","","0","0","","","0","9395","0","9395","81","","","0","","","0","30515.73","","30515.73","","0","","0","30515.73","0","30515.73","39910.73","0","39910.73"
"6633","North Vancouver Conservative Association","2005","46154.26","4004","50158.26","1745","4051","5003","9054","36","","","","","","","","50205.26","9007","59212.26","1781","9937","","9937","","","","","","","","","","","9937","0","9937","60142.26","9007","69149.26"
"10368","North Vancouver Conservative Association","2006","14996.86","","14996.86","197","600","","600","2","","","","","","","","15596.86","","15596.86","199","6887.57","","6887.57","","","","","","","","","124.91","124.91","7012.48","","7012.48","22609.34","","22609.34"
"3638","North Vancouver Federal Green Party Association","2004","110","","110","7","","225","225","3","","","","","","","","110","225","335","10","","","","","","","","","","","","","","","","","110","225","335"
"6935","North Vancouver Federal Green Party Association","2005","395.32","","395.32","3","","","0","0","","","0","0","","","0","395.32","0","395.32","3","","","0","","","0","61.74","","61.74","","0","","0","61.74","0","61.74","457.06","0","457.06"
"10670","North Vancouver Federal Green Party Association","2006","4318.45","722","5040.45","76","","235","235","7","","","","","","","","4318.45","957","5275.45","83","2215.56","","2215.56","75","","75","","","","","","","","2290.56","","2290.56","6609.01","957","7566.01"
"3354","North Vancouver Federal Liberal Association","2004","2341.05","","2341.05","117","144.4","","144.4","2","","","0","0","","","0","2485.45","0","2485.45","119","1440","","1440","50","","50","16541.02","","16541.02","","0","","0","18031.02","0","18031.02","20516.47","0","20516.47"
"7057","North Vancouver Federal Liberal Association","2005","25048.93","","25048.93","116","6508.56","","6508.56","15","","","","","","","","31557.49","","31557.49","131","1185","","1185","","","","3020.08","","3020.08","","","","","4205.08","","4205.08","35762.57","","35762.57"
"10791","North Vancouver Federal Liberal Association","2006","13022.22","0","13022.22","79","4813.54","0","4813.54","16","0","0","0","0","0","0","0","17835.76","0","17835.76","95","805","0","805","0","0","0","29868.77","0","29868.77","0","0","0","0","30673.77","0","30673.77","48509.53","0","48509.53"
"3022","North Vancouver Federal NDP Riding Association","2004","3667","","3667","81","","","","","","","","","","","","3667","","3667","81","1569.76","","1569.76","","","","","","","","","","","1569.76","","1569.76","5236.76","","5236.76"
"6309","North Vancouver Federal NDP Riding Association","2005","","","","","","","","","","","","","","","","","","","","2425.68","","2425.68","","","","","","","","","","","2425.68","","2425.68","2425.68","","2425.68"
"10046","North Vancouver Federal NDP Riding Association","2006","","","","","","","","","","","","","","","","","","","","1468","","1468","","","","2495.96","","2495.96","","","","","3963.96","","3963.96","3963.96","","3963.96"
"2818","Northumberland--Quinte West Conservative Association","2004","19004","","","","100","","","","","","","","","","","19104","","","","11506.22","","","500","","","","","","","","","","12006.22","","","31110.22","",""
"6609","Northumberland--Quinte West Conservative Association","2005","10958.75","","10958.75","62","","","","","","","","","","","","10958.75","","10958.75","62","31921.75","","31921.75","","","","29017.75","","29017.75","","","","","60939.5","","60939.5","71898.25","","71898.25"
"10344","Northumberland--Quinte West Conservative Association","2006","5185","","5185","60","250","","250","1","","","0","0","","","0","5435","0","5435","61","12300.5","","12300.5","242.17","","242.17","75707.23","","75707.23","","0","","0","88249.9","0","88249.9","93684.9","0","93684.9"
"3460","Northumberland--Quinte West Federal Liberal Association","2004","4306.79","","4306.79","377","","","0","0","","","0","0","","","0","4306.79","0","4306.79","377","9182.09","","9182.09","","","0","","","0","","0","","0","9182.09","0","9182.09","13488.88","0","13488.88"
"6169","Northumberland--Quinte West Federal Liberal Association","2005","10348.28","","10348.28","109","2267.5","","2267.5","15","500","","500","1","","","","13115.78","","13115.78","125","5638","","5638","","","","27780","","27780","","","","","33418","","33418","46533.78","","46533.78"
"9906","Northumberland--Quinte West Federal Liberal Association","2006","12463.62","","12463.62","102","1514.54","","1514.54","9","","","","","","","","13978.16","","13978.16","111","7951","","7951","","","","22074.47","","22074.47","","","","","30025.47","","30025.47","44003.63","","44003.63"
"3109","Northumberland--Quinte West Federal NDP Riding Association","2004","15195","","15195","88","900","","900","4","","","0","0","","","0","16095","0","16095","92","","","0","","","0","2240.67","","2240.67","","0","","0","2240.67","0","2240.67","18335.67","0","18335.67"
"6262","Northumberland--Quinte West Federal NDP Riding Association","2005","10005","","10005","77","500","","500","2","","","0","0","","","0","10505","0","10505","79","3015.34","0","3015.34","","","0","","","0","","0","","0","3015.34","0","3015.34","13520.34","0","13520.34"
"9999","Northumberland--Quinte West Federal NDP Riding Association","2006","2395","","2395","17","","","","","","","","","","","","2395","","2395","17","8254.92","","8254.92","","","","82.04","","82.04","","","","","8336.96","","8336.96","10731.96","","10731.96"
"7094","Northwest Territories Conservative Association","2005","","","","","","","","","","","","","","","","","","715","104","","","","","","","","","","","","","","","","","","","715"
"10827","Northwest Territories Conservative Association","2006","250","","","1","","","","","","","","","","","","","","","","13779.32","","","","","","5337","","","","","","","19116.32","","","19116.32","",""
"2994","Northwest Territories Federal NDP Riding Association","2004","11825","","11825","128","1463","","1463","2","","","0","0","","","0","13288","0","13288","130","","","0","","","0","","","0","","0","","0","0","0","0","13288","0","13288"
"6586","Northwest Territories Federal NDP Riding Association","2005","11089","","11089","326","","","","","375","","375","1","","","","11464","","11464","327","19366","","19366","","","","","","","","","","","19366","0","19366","30830","","30830"
"10321","Northwest Territories Federal NDP Riding Association","2006","5188","1200","6388","178","500","3869.99","4369.99","20","","","","","","","","5688","5069.99","10757.99","198","160","","160","","","","","","","","","","","160","","160","5848","5069.99","10917.99"
"3571","Notre-Dame-de-Grâce--Lachine Federal Liberal Association","2004","8775","","8775","7","","","","","","","","","","","","8775","","8775","7","22050.49","","22050.49","","","","","","","","","","","22050.49","","22050.49","30825.49","","30825.49"
"6084","Notre-Dame-de-Grâce--Lachine Federal Liberal Association","2005","24965","","24965","87","13263.5","","13263.5","33","","","","","","","","38228.5","","38228.5","120","167","","167","","","","17261.22","","17261.22","","","","","17428.22","","17428.22","55656.72","","55656.72"
"3199","Notre-Dame-De-Grâce--Lachine Federal NDP Riding Association","2004","1575","","1575","46","","","0","0","","","0","0","","","0","1575","0","1575","46","","","0","","","0","","","0","","0","","0","0","0","0","1575","0","1575"
"6448","Notre-Dame-De-Grâce--Lachine Federal NDP Riding Association","2005","12070","","12070","99","","","","","","","","","","","","12070","","12070","99","","","","355.06","","355.06","","","","","","","","355.06","","355.06","12425.06","","12425.06"
"10185","Notre-Dame-De-Grâce--Lachine Federal NDP Riding Association","2006","1331.5","","1331.5","19","","","0","0","","","0","0","","","0","1331.5","0","1331.5","19","4405.66","","4405.66","","","0","5302.19","","5302.19","","0","","0","9707.85","0","9707.85","11039.35","0","11039.35"
"3643","Notre-Dame-de-Grâce--Lachine Green Party of Canada Electoral District Association","2004","742.71","","","","","60","","","","","","","","","","742.71","60","","","","","","","","","","","","","","","","","","","742.71","60",""
"10946","NPD Argenteuil--Papineau--Mirabel","2006","5","","5","1","","","","","","","","","","","","5","","5","1","","","","100","","100","","","","","","","","100","","100","105","","105"
"10851","NPD Marc-Aurèle-Fortin","2006","170","","170","1","","","0","0","","","0","0","","","0","170","0","170","1","","","0","","","0","159.48","","159.48","","0","","0","159.48","0","159.48","329.48","0","329.48"
"10904","NPD Montmorency--Charlevoix--Haute-Côte-Nord","2006","110","","110","2","","","0","0","","","0","0","","","0","110","0","110","2","","","0","","","0","","","0","","0","","0","0","0","0","110","0","110"
"3336","Nunavut Federal Liberal Association","2004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6761","Nunavut Federal Liberal Association","2005","1860","","1860","32","3010","","3010","11","","","","","100","100","1","4970","","4970","44","13000","","13000","","","","17159.05","","17159.05","","","","","30159.05","","30159.05","35129.05","","35129.05"
"10496","Nunavut Federal Liberal Association","2006","","","","","400","","400","1","","","","","","","","400","","400","1","","","","1702.05","","1702.05","","","","","","","","1702.05","","1702.05","2102.05","","2102.05"
"2819","Oak Ridges--Markham Conservative Association","2004","32505","","32505","125","5675","","5675","11","","","","","330","330","1","38510","","38510","137","19704.13","","19704.13","","","","","","","","","","","19704.13","","19704.13","58214.13","","58214.13"
"6624","Oak Ridges--Markham Conservative Association","2005","33154","","33154","180","17405","","17405","33","","","0","0","","","0","50559","0","50559","213","6579.5","","6579.5","1000","","1000","24649.34","","24649.34","","0","","0","32228.84","0","32228.84","82787.84","0","82787.84"
"10359","Oak Ridges--Markham Conservative Association","2006","12570","","12570","86","1260","","1260","2","","","0","0","","","0","13830","0","13830","88","3145.5","","3145.5","","","0","91.85","","91.85","","0","","0","3237.35","0","3237.35","17067.35","0","17067.35"
"3919","Oak Ridges--Markham Federal Liberal Association","2004","41634.71","","41634.71","259","25479.09","","25479.09","53","","","0","0","","","0","67113.8","0","67113.8","312","25956.24","","25956.24","","","0","","","0","","0","","0","25956.24","0","25956.24","93070.04","0","93070.04"
"6997","Oak Ridges--Markham Federal Liberal Association","2005","63308.68","","63308.68","254","26403.68","","26403.68","48","","","0","0","","","0","89712.36","0","89712.36","302","1152.5","","1152.5","","","0","","","0","","0","","0","1152.5","0","1152.5","90864.86","0","90864.86"
"10731","Oak Ridges--Markham Federal Liberal Association","2006","27749.8","0","27749.8","172","12286.43","0","12286.43","35","0","0","0","0","100","100","1","40136.23","0","40136.23","208","26679.91","0","26679.91","0","0","0","16205","0","16205","0","0","0","0","42884.91","0","42884.91","83021.14","0","83021.14"
"3621","Oak Ridges--Markham Federal NDP Riding Association","2004","2990","","2990","20","300","","300","1","","","0","0","","","0","3290","0","3290","21","","","0","","","0","35","2481.8","2516.8","","0","","0","35","2481.8","2516.8","3325","2481.8","5806.8"
"6760","Oak Ridges--Markham Federal NDP Riding Association","2005","2895.3","","2895.3","45","20","","20","1","","","","","","","","2915.3","","2915.3","46","120","","120","","","","","","","","","","","120","","120","3035.3","","3035.3"
"10495","Oak Ridges--Markham Federal NDP Riding Association","2006","1326.45","0","1326.45","5","700","0","700","2","0","0","0","0","0","0","0","2026.45","0","2026.45","7","0","0","0","0","0","0","330.48","0","330.48","0","0","0","0","330.48","0","330.48","2356.93","0","2356.93"
"2967","Oak Ridges--Markham GPC EDA","2004","1500","","1500","1","","","","","","","","","","","","1500","","1500","1","","","","","","","0.01","","0.01","","","","","0.01","","0.01","1500.01","","1500.01"
"6875","Oak Ridges--Markham GPC EDA","2005","200","","200","1","","","","","","","","","","","","200","","200","1","","","","90","","90","0","","","","","","","90","","90","290","","290"
"10610","Oak Ridges--Markham GPC EDA","2006","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7127","Oak Ridges--Markham PC Party Association","2005","","","0","0","","","0","0","","","0","0","","","0","0","0","0","0","","","0","","","0","","","0","","0","","0","0","0","0","0","0","0"
"10861","Oak Ridges--Markham PC Party Association","2006","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"2820","Oakville Conservative Association","2004","27727.38","","27727.38","99","3601.98","","3601.98","11","","","","","","","","31329.36","","31329.36","110","6616.5","","6616.5","52618.19","","52618.19","","","","","","","","59234.69","","59234.69","90564.05","","90564.05"
"6627","Oakville Conservative Association","2005","32620","","32620","169","7120","","7120","17","","","0","0","","","0","39740","0","39740","186","5264.92","","5264.92","163.72","","163.72","103131.98","","103131.98","","0","","0","108560.62","0","108560.62","148300.62","0","148300.62"
"10362","Oakville Conservative Association","2006","13949","","13949","86","","","0","0","","","0","0","","","0","13949","0","13949","86","13400.5","","13400.5","","","0","1449.87","","1449.87","","0","","0","14850.37","0","14850.37","28799.37","0","28799.37"
"2968","Oakville Federal Green Party Association","2004","400","","400","3","","","0","0","","","0","0","","","0","400","0","400","3","","","0","","","0","","","0","","0","","0","0","0","0","400","0","400"
"6576","Oakville Federal Green Party Association","2005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10311","Oakville Federal Green Party Association","2006","905","0","905","9","0","0","0","0","0","0","0","0","0","0","0","905","0","905","9","0","0","0","852.97","0","852.97","0","0","0","0","0","0","0","852.97","0","852.97","1757.97","0","0"
"3462","Oakville Federal Liberal Association","2004","12046.68","","12046.68","64","2825.42","","2825.42","10","276.36","","276.36","1","","","","15148.46","","15148.46","75","611.62","","611.62","","","","","","","","","","","611.62","","611.62","15760.08","","15760.08"
"6302","Oakville Federal Liberal Association","2005","16414.17","","16414.17","102","2983.27","","2983.27","12","350","","350","1","","","","19747.44","","19747.44","115","238.4","","238.4","","","","20464.75","","20464.75","","","","","20703.15","","20703.15","40450.59","","40450.59"
"10039","Oakville Federal Liberal Association","2006","20705.48","","20705.48","101","3952.72","","3952.72","9","","","","","","","","24658.2","","24658.2","110","1596.14","","1596.14","","","","23077.83","","23077.83","","","","","24673.97","","24673.97","49332.17","","49332.17"
"3111","Oakville Federal NDP Riding Association","2004","2300","","2300","17","","","0","0","","","0","0","","","0","2300","0","2300","17","","","0","","","0","","","0","","0","","0","0","0","0","2300","0","2300"
"6759","Oakville Federal NDP Riding Association","2005","6740","","6740","27","","","0","0","","","0","0","","","0","6740","0","6740","27","1000","","1000","","","0","","","0","","0","","0","1000","0","1000","7740","0","7740"
"10494","Oakville Federal NDP Riding Association","2006","2275","0","2275","9","0","0","0","0","0","0","0","0","0","0","0","2275","0","2275","9","453.75","0","453.75","0","0","0","0","0","0","0","0","0","0","453.75","0","453.75","2728.75","0","2728.75"
"2712","Okanagan--Coquihalla Conservative Association","2004","20933.39","","20933.39","239","1600","","1600","3","","","0","0","","","0","22533.39","0","22533.39","242","26071.88","","26071.88","5583.01","","5583.01","","","0","","0","","0","31654.89","0","31654.89","54188.28","0","54188.28"
